Category: All categories

Week,what is vaping: (United Kingdom),is vaping safe: (United Kingdom),vaping shop: (United Kingdom),vaping device: (United Kingdom)
2015-09-27,42,12,50,0
2015-10-04,34,15,65,0
2015-10-11,19,8,53,0
2015-10-18,60,23,53,8
2015-10-25,19,34,54,0
2015-11-01,41,18,52,0
2015-11-08,48,48,26,0
2015-11-15,37,15,59,0
2015-11-22,14,22,47,0
2015-11-29,45,26,63,0
2015-12-06,45,45,49,0
2015-12-13,36,28,32,0
2015-12-20,37,41,50,9
2015-12-27,55,42,29,0
2016-01-03,34,64,64,8
2016-01-10,56,34,48,0
2016-01-17,42,42,42,8
2016-01-24,49,26,45,0
2016-01-31,26,15,52,8
2016-02-07,30,23,53,0
2016-02-14,23,8,66,8
2016-02-21,46,27,53,8
2016-02-28,52,0,53,0
2016-03-06,27,19,27,8
2016-03-13,27,16,43,8
2016-03-20,47,28,28,0
2016-03-27,51,20,47,8
2016-04-03,42,38,23,8
2016-04-10,65,31,46,0
2016-04-17,38,27,46,15
2016-04-24,45,15,53,8
2016-05-01,42,35,39,0
2016-05-08,51,35,39,8
2016-05-15,58,46,46,0
2016-05-22,56,32,71,0
2016-05-29,32,40,76,0
2016-06-05,60,64,48,8
2016-06-12,34,23,46,0
2016-06-19,35,54,70,0
2016-06-26,67,39,74,8
2016-07-03,45,16,41,0
2016-07-10,21,16,37,0
2016-07-17,26,26,78,9
2016-07-24,25,29,88,0
2016-07-31,30,30,42,0
2016-08-07,40,13,49,0
2016-08-14,45,18,31,0
2016-08-21,31,17,61,9
2016-08-28,38,17,51,8
2016-09-04,58,49,41,0
2016-09-11,50,25,71,0
2016-09-18,57,33,45,8
2016-09-25,28,24,36,0
2016-10-02,48,28,52,8
2016-10-09,20,32,80,0
2016-10-16,44,28,48,0
2016-10-23,28,32,72,0
2016-10-30,28,48,40,0
2016-11-06,38,23,50,11
2016-11-13,49,19,42,0
2016-11-20,33,15,34,7
2016-11-27,42,19,60,7
2016-12-04,31,15,34,8
2016-12-11,44,28,52,8
2016-12-18,30,26,43,0
2016-12-25,30,22,60,0
2017-01-01,45,34,37,0
2017-01-08,39,36,50,0
2017-01-15,40,40,32,0
2017-01-22,44,11,51,7
2017-01-29,35,21,53,0
2017-02-05,69,33,44,0
2017-02-12,58,14,55,11
2017-02-19,29,11,32,0
2017-02-26,74,21,45,0
2017-03-05,57,25,39,7
2017-03-12,46,14,42,0
2017-03-19,62,11,29,0
2017-03-26,30,15,37,0
2017-04-02,41,26,23,0
2017-04-09,46,30,42,8
2017-04-16,41,26,19,8
2017-04-23,53,35,57,0
2017-04-30,62,22,51,7
2017-05-07,55,11,62,0
2017-05-14,48,33,45,7
2017-05-21,55,12,39,0
2017-05-28,38,27,100,0
2017-06-04,40,29,44,0
2017-06-11,50,27,39,8
2017-06-18,42,19,45,8
2017-06-25,34,34,58,0
2017-07-02,39,35,31,0
2017-07-09,34,15,46,15
2017-07-16,35,27,50,8
2017-07-23,34,11,34,0
2017-07-30,30,55,37,0
2017-08-06,38,15,56,7
2017-08-13,42,26,53,8
2017-08-20,38,23,27,0
2017-08-27,39,19,46,8
2017-09-03,22,15,41,7
2017-09-10,22,22,37,0
2017-09-17,33,40,33,7
2017-09-24,57,14,50,0
2017-10-01,43,11,47,0
2017-10-08,29,25,29,0
2017-10-15,18,14,18,0
2017-10-22,18,25,39,0
2017-10-29,25,42,43,7
2017-11-05,32,14,39,7
2017-11-12,52,10,21,0
2017-11-19,34,20,24,7
2017-11-26,49,28,42,0
2017-12-03,25,35,36,0
2017-12-10,29,14,18,14
2017-12-17,58,19,35,0
2017-12-24,32,16,45,8
2017-12-31,32,60,35,0
